iter	tree	grid	feat	var	change	nchange	geodist	cophdist	condition
0	13	Verbal morphology	simple PAST, A	PST:A-Gender-AGR	gain	6	941.09547946	5901.30302586	C
0	13	Verbal morphology	simple PAST, A	PST:A-Gender-AGR	loss	8	601.430032138	8336.59608246	S
0	9	Verbal morphology	simple PAST, A	PST:NO-A-AGR	gain	25	626.39902837	3837.66988018	S
0	9	Verbal morphology	simple PAST, A	PST:NO-A-AGR	loss	18	761.912268159	3523.27195154	C
0	14	Verbal morphology	simple PAST, DAT	PST:DAT-Gender-AGR	gain	2	5971.6371226	11175.5342417	C
0	14	Verbal morphology	simple PAST, DAT	PST:DAT-Gender-AGR	loss	2	102.118586172	315.467696273	S
0	4	Verbal morphology	simple PAST, DAT	PST:NO-DAT-AGR	gain	5	615.206988491	831.762627676	S
0	4	Verbal morphology	simple PAST, DAT	PST:NO-DAT-AGR	loss	11	937.054982478	5587.85862784	C
0	9	Verbal morphology	simple PAST, O	PST:NO-O-AGR	gain	18	694.656117532	3016.78382852	S
0	9	Verbal morphology	simple PAST, O	PST:NO-O-AGR	loss	18	1004.84778873	4993.44811785	C
0	11	Verbal morphology	simple PAST, O	PST:O-AGR-FULL	gain	4	2247.86248609	6185.02450006	C
0	11	Verbal morphology	simple PAST, O	PST:O-AGR-FULL	loss	2	2644.51150715	2122.89023683	S
0	11	Verbal morphology	simple PAST, O	PST:O-Gender-AGR	gain	4	1961.25167427	6999.0062829	C
0	11	Verbal morphology	simple PAST, O	PST:O-Gender-AGR	loss	6	1210.04088015	2418.01900731	S
0	17	Word order	Adpositions	Post	gain	4	2161.05740635	8477.62509488	N
0	17	Word order	Adpositions	Post	loss	4	871.158099349	7267.41294645	N
0	5	Word order	Adpositions	Prep	loss	4	2290.03185158	8509.35569539	N
0	8	Word order	Clitic pronouns finite verb	2nd position	gain	4	388.363712108	3378.14328175	N
0	8	Word order	Clitic pronouns finite verb	2nd position	loss	12	616.681038002	4862.40119863	N
0	10	Word order	Clitic pronouns finite verb	OV	gain	9	1366.58139613	4072.35424886	N
0	10	Word order	Clitic pronouns finite verb	OV	loss	10	905.13116645	5856.97473518	N
0	11	Word order	Clitic pronouns finite verb	VO	gain	27	863.970966885	4820.26314129	N
0	11	Word order	Clitic pronouns finite verb	VO	loss	17	317.256852739	3527.80090304	N
0	17	Word order	Clitic pronouns infinitive	2nd position	gain	4	2471.92640615	7694.93484626	N
0	17	Word order	Clitic pronouns infinitive	2nd position	loss	6	1319.56131041	5545.74396345	N
0	7	Word order	Clitic pronouns infinitive	OV	gain	20	797.180916373	5594.36588469	N
